operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
31.07.2026;01.08.2026;Текущий счёт ;4,08178E+19;;;"ООО ""АГРОТОРГ""";35.84;RUR;Выполнен;Продукты;5411;Списание;;3;Рубли
31.07.2026;03.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;OZON;1319.98;RUR;Выполнен;Маркетплейсы;5300;Списание;;15;Рубли
31.05.2026;31.05.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;500;RUR;Выполнен;Переводы;;Пополнение;;;
31.03.2026;31.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/MAGNIT MM ROSHANO;782.74;RUR;Выполнен;Продукты;5411;Списание;;;
30.08.2026;;Текущий счёт ;4,08178E+19;;;"ООО БАНК ""ПЭЙДЖИН""";1370.91;RUR;В обработке;Маркетплейсы;5300;Списание;;6;Рубли
30.06.2026;30.06.2026;Текущий счёт ;4,08178E+19;;;Юрий Л.;1000;RUR;Выполнен;Переводы;;Пополнение;;;
30.06.2026;30.06.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;5000;RUR;Выполнен;Переводы;;Пополнение;;;
30.05.2026;31.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО БАНК ""ПЭЙДЖИН""";1478.26;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
30.05.2026;30.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/STOLOVAYA N4 GU;312.35;RUR;Выполнен;Фастфуд;5814;Списание;;15;Рубли
30.03.2026;31.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/MONETKA;689.17;RUR;Выполнен;Продукты;5411;Списание;;;
30.03.2026;02.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""ТАНДЕР""";388.58;RUR;Выполнен;Продукты;5411;Списание;;1;Рубли
29.08.2026;30.08.2026;Текущий счёт ;4,08178E+19;;;Moscow/KRASNOE BELOE;495.1;RUR;Выполнен;Продукты;5499;Списание;;10;Рубли
29.07.2026;01.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/TRANSPORT TPP;42.12;RUR;Выполнен;Транспорт;4131;Списание;;;
29.07.2026;30.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
