operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
30.07.2026;01.08.2026;Текущий счёт ;4,08E+19;;;Новосибирск/APTEKA 36.6;318.22;RUR;Выполнен;Аптеки;5912;Списание;;;
30.05.2026;30.05.2026;Текущий счёт ;4,08E+19;Альфа-карта МИР ;220015******7479;Новосибирск/APTEKA 36.6;903.51;RUR;Выполнен;Аптеки;5912;Списание;;15;Рубли
30.04.2026;30.04.2026;Текущий счёт ;4,08E+19;;;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;11;Рубли
29.03.2026;29.03.2026;Текущий счёт ;4,08E+19;Альфа-карта МИР ;220015******7479;"АО ""ТАНДЕР""";211.01;RUR;Выполнен;Продукты;5411;Списание;;8;Рубли
28.07.2026;28.07.2026;Текущий счёт ;4,08E+19;Альфа-карта МИР ;220015******7479;"ООО ""АЛЬФА-М""";78.85;RUR;Выполнен;Продукты;5411;Списание;;;
28.07.2026;28.07.2026;Текущий счёт ;4,08E+19;Альфа-карта МИР ;220015******7479;Снятие наличных ATM;20000;RUR;Выполнен;Наличные;6011;Списание;;;
28.06.2026;28.06.2026;Текущий счёт ;4,08E+19;Альфа-карта МИР ;220015******7479;Новосибирск/SHAWARMA HOUSE;216.57;RUR;Выполнен;Фастфуд;5814;Списание;;;
28.05.2026;31.05.2026;Текущий счёт ;4,08E+19;;;Новосибирск/DOODOO PIZZA;1062.63;RUR;Выполнен;Фастфуд;5814;Списание;;;
28.03.2026;28.03.2026;Текущий счёт ;4,08E+19;;;Оксана К.;1500;RUR;Выполнен;Переводы;;Пополнение;;;
27.06.2026;30.06.2026;Текущий счёт ;4,08E+19;Альфа-карта МИР ;220015******7479;Ситимобил;433.51;RUR;Выполнен;Транспорт;4121;Списание;;;
27.04.2026;27.04.2026;Текущий счёт ;4,08E+19;;;"ООО БАНК ""ПЭЙДЖИН""";2136.92;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
26.08.2026;26.08.2026;Текущий счёт ;4,08E+19;;;ИП Смирнова Е.А.;60895;RUR;Выполнен;Переводы;;Пополнение;;;
26.08.2026;28.08.2026;Текущий счёт ;4,08E+19;;;"ООО ""АЛЬФА-М""";148.98;RUR;Выполнен;Продукты;5411;Списание;;14;Рубли
26.08.2026;26.08.2026;Текущий счёт ;4,08E+19;Альфа-карта МИР ;220015******7479;"ООО ""ЭЛЕМЕНТ-ТРЕЙД""";279.04;RUR;Выполнен;Продукты;5411;Списание;;;
26.06.2026;26.06.2026;Текущий счёт ;4,08E+19;;;ИП Смирнова Е.А.;50532;RUR;Выполнен;Переводы;;Пополнение;;;
26.05.2026;26.05.2026;Текущий счёт ;4,08E+19;;;ИП Смирнова Е.А.;62677;RUR;Выполнен;Переводы;;Пополнение;;;
