operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
31.07.2026;01.08.2026;Текущий счёт ;4,08178E+19;;;"ООО ""АГРОТОРГ""";35.84;RUR;Выполнен;Продукты;5411;Списание;;3;Рубли
31.05.2026;31.05.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;500;RUR;Выполнен;Переводы;;Пополнение;;;
29.04.2026;29.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
29.04.2026;01.05.2026;Текущий счёт ;4,08178E+19;;;Kazan/SPK EKATERINBUR;45.38;RUR;Выполнен;Транспорт;4111;Списание;;;
28.06.2026;28.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Оплата по QR через Сбер;86.76;RUR;Выполнен;Кафе;5812;Списание;;;
28.04.2026;01.05.2026;Текущий счёт ;4,08178E+19;;;"ООО ""ЭЛЕМЕНТ-ТРЕЙД""";221.68;RUR;Выполнен;Продукты;5411;Списание;;;
27.06.2026;28.06.2026;Текущий счёт ;4,08178E+19;;;Kazan/MONETKA;569.34;RUR;Выполнен;Продукты;5411;Списание;;;
27.06.2026;30.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Оплата по QR через Сбер;326.39;RUR;Выполнен;Кафе;5812;Списание;;12;Рубли
27.04.2026;29.04.2026;Текущий счёт ;4,08178E+19;;;Оплата по QR через Сбер;258.68;RUR;Выполнен;Кафе;5812;Списание;;6;Рубли
27.03.2026;28.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Kazan/SPK EKATERINBUR;43.71;RUR;Выполнен;Транспорт;4111;Списание;;;
27.03.2026;27.03.2026;Текущий счёт ;4,08178E+19;;;ЖКХ;8336;RUR;Выполнен;Переводы;;Списание;;;
27.03.2026;27.03.2026;Текущий счёт ;4,08178E+19;;;Детский сад;4345;RUR;Выполнен;Переводы;;Списание;;;
26.08.2026;27.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""ТАНДЕР""";163.43;RUR;Выполнен;Продукты;5411;Списание;;;
26.04.2026;26.04.2026;Текущий счёт ;4,08178E+19;;;ПАО КамАЗ;97242;RUR;Выполнен;Переводы;;Пополнение;;;
25.08.2026;26.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО ""АГРОТОРГ""";231.45;RUR;Выполнен;Продукты;5411;Списание;;;
25.05.2026;25.05.2026;Текущий счёт ;4,08178E+19;;;ПАО КамАЗ;102454;RUR;Выполнен;Переводы;;Пополнение;;;
25.05.2026;28.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;WILDBERRIES;2465.65;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
24.08.2026;24.08.2026;Текущий счёт ;4,08178E+19;;;ПАО КамАЗ;96507;RUR;Выполнен;Переводы;;Пополнение;;;
24.08.2026;24.08.2026;Текущий счёт ;4,08178E+19;;;Детский сад;4339;RUR;Выполнен;Переводы;;Списание;;;
24.06.2026;24.06.2026;Текущий счёт ;4,08178E+19;;;ПАО КамАЗ;119915;RUR;Выполнен;Переводы;;Пополнение;;;
24.04.2026;24.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Kazan/MONETKA;680.87;RUR;Выполнен;Продукты;5411;Списание;;;
23.08.2026;26.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО ""ЭЛЕМЕНТ-ТРЕЙД""";278.99;RUR;Выполнен;Продукты;5411;Списание;;;
23.04.2026;23.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО ""АЛЬФА-М""";283.82;RUR;Выполнен;Продукты;5411;Списание;;;
