operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
29.08.2026;30.08.2026;Текущий счёт ;4,08178E+19;;;Moscow/KRASNOE BELOE;495.1;RUR;Выполнен;Продукты;5499;Списание;;10;Рубли
29.06.2026;02.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/SHAWARMA HOUSE;283.76;RUR;Выполнен;Фастфуд;5814;Списание;;;
29.06.2026;29.06.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;200;RUR;Выполнен;Переводы;;Пополнение;;;
29.04.2026;29.04.2026;Текущий счёт ;4,08178E+19;;;Оксана К.;5000;RUR;Выполнен;Переводы;;Пополнение;;;
28.04.2026;30.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/STOLOVAYA N4 GU;357.54;RUR;Выполнен;Фастфуд;5814;Списание;;;
26.08.2026;28.08.2026;Текущий счёт ;4,08178E+19;;;Оплата по QR через Сбер;344.2;RUR;Выполнен;Кафе;5812;Списание;;;
26.07.2026;29.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/SPK EKATERINBUR;42.24;RUR;Выполнен;Транспорт;4111;Списание;;;
26.05.2026;26.05.2026;Текущий счёт ;4,08178E+19;;;ООО Заказчик;80028;RUR;Выполнен;Переводы;;Пополнение;;;
26.04.2026;26.04.2026;Текущий счёт ;4,08178E+19;;;ООО Заказчик;70561;RUR;Выполнен;Переводы;;Пополнение;;;
26.04.2026;28.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО ""АЛЬФА-М""";141.32;RUR;Выполнен;Продукты;5411;Списание;;;
26.04.2026;27.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/TRANSPORT TPP;43.32;RUR;Выполнен;Транспорт;4131;Списание;;3;Рубли
25.06.2026;25.06.2026;Текущий счёт ;4,08178E+19;;;ООО Заказчик;103369;RUR;Выполнен;Переводы;;Пополнение;;;
25.03.2026;26.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/APTEKA 36.6;528.12;RUR;Выполнен;Аптеки;5912;Списание;;13;Рубли
24.08.2026;24.08.2026;Текущий счёт ;4,08178E+19;;;Аренда кв.;44862;RUR;Выполнен;Переводы;;Списание;;;
24.07.2026;24.07.2026;Текущий счёт ;4,08178E+19;;;ООО Заказчик;115069;RUR;Выполнен;Переводы;;Пополнение;;;
24.06.2026;25.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО БАНК ""ПЭЙДЖИН""";790.02;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
24.03.2026;24.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
23.06.2026;23.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
23.03.2026;25.03.2026;Текущий счёт ;4,08178E+19;;;"ООО ""АЛЬФА-М""";46.01;RUR;Выполнен;Продукты;5411;Списание;;;
22.07.2026;22.07.2026;Текущий счёт ;4,08178E+19;;;Оксана К.;1000;RUR;Выполнен;Переводы;;Пополнение;;;
22.07.2026;22.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Снятие наличных ATM;5000;RUR;Выполнен;Наличные;6011;Списание;;;
22.04.2026;22.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО ""АЛЬФА-М""";223.55;RUR;Выполнен;Продукты;5411;Списание;;;
21.06.2026;22.06.2026;Текущий счёт ;4,08178E+19;;;Moscow/SHAWARMA HOUSE;288.05;RUR;Выполнен;Фастфуд;5814;Списание;;;
21.05.2026;21.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/MAGNIT MM RAZME;728.13;RUR;Выполнен;Продукты;5411;Списание;;;
21.05.2026;23.05.2026;Текущий счёт ;4,08178E+19;;;Возврат WILDBERRIES;4256.26;RUR;Выполнен;Возвраты;5300;Пополнение;Возврат товара;;
