operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
30.06.2026;30.06.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;5000;RUR;Выполнен;Переводы;;Пополнение;;;
29.07.2026;30.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
29.05.2026;31.05.2026;Текущий счёт ;4,08178E+19;;;НКО ПЕРСПЕКТИВА (ООО);148;RUR;Выполнен;Цифровые товары;5816;Списание;;;
29.03.2026;29.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/SPK EKATERINBUR;43.31;RUR;Выполнен;Транспорт;4111;Списание;;8;Рубли
28.08.2026;30.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""ТАНДЕР""";125.45;RUR;Выполнен;Продукты;5411;Списание;;;
28.06.2026;28.06.2026;Текущий счёт ;4,08178E+19;;;Novosibirsk/TRANSPORT TPP;42.59;RUR;Выполнен;Транспорт;4131;Списание;;4;Рубли
28.04.2026;30.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/SHAWARMA HOUSE;330.39;RUR;Выполнен;Фастфуд;5814;Списание;;;
27.08.2026;29.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/TRANSPORT TPP;42.73;RUR;Выполнен;Транспорт;4131;Списание;;;
26.08.2026;28.08.2026;Текущий счёт ;4,08178E+19;;;Novosibirsk/SPK EKATERINBUR;43.41;RUR;Выполнен;Транспорт;4111;Списание;;14;Рубли
26.06.2026;26.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Снятие наличных ATM;15000;RUR;Выполнен;Наличные;6011;Списание;;;
26.05.2026;26.05.2026;Текущий счёт ;4,08178E+19;;;ООО Геймдев;81333;RUR;Выполнен;Переводы;;Пополнение;;;
26.05.2026;26.05.2026;Текущий счёт ;4,08178E+19;;;"ООО ""АЛЬФА-М""";247.74;RUR;Выполнен;Продукты;5411;Списание;;;
25.08.2026;27.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
25.06.2026;25.06.2026;Текущий счёт ;4,08178E+19;;;WILDBERRIES;3986.19;RUR;Выполнен;Маркетплейсы;5300;Списание;;15;Рубли
25.03.2026;25.03.2026;Текущий счёт ;4,08178E+19;;;ООО Геймдев;81347;RUR;Выполнен;Переводы;;Пополнение;;;
24.08.2026;24.08.2026;Текущий счёт ;4,08178E+19;;;ООО Геймдев;80731;RUR;Выполнен;Переводы;;Пополнение;;;
24.08.2026;24.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Снятие наличных ATM;20000;RUR;Выполнен;Наличные;6011;Списание;;;
24.04.2026;24.04.2026;Текущий счёт ;4,08178E+19;;;ООО Геймдев;80482;RUR;Выполнен;Переводы;;Пополнение;;;
24.03.2026;26.03.2026;Текущий счёт ;4,08178E+19;;;НКО ПЕРСПЕКТИВА (ООО);55;RUR;Выполнен;Цифровые товары;5816;Списание;;;
24.03.2026;24.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/MAGNIT MM KLERIK;385.53;RUR;Выполнен;Продукты;5411;Списание;;;
23.08.2026;26.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/KRASNOE BELOE;593.0;RUR;Выполнен;Продукты;5499;Списание;;;
23.06.2026;24.06.2026;Текущий счёт ;4,08178E+19;;;"ООО ""АНЛОКИФАЙ""";150;RUR;Выполнен;Цифровые товары;5816;Списание;;;
23.06.2026;23.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/MONETKA;387.6;RUR;Выполнен;Продукты;5411;Списание;;;
23.05.2026;24.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/APTEKA 36.6;1122.4;RUR;Выполнен;Аптеки;5912;Списание;;;
22.06.2026;24.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/TRANSPORT TPP;43.49;RUR;Выполнен;Транспорт;4131;Списание;;;
21.08.2026;23.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Novosibirsk/MAGNIT MM 1158;649.51;RUR;Выполнен;Продукты;5411;Списание;;5;Рубли
