operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
31.07.2026;03.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;OZON;1319.98;RUR;Выполнен;Маркетплейсы;5300;Списание;;15;Рубли
30.08.2026;;Текущий счёт ;4,08178E+19;;;"ООО БАНК ""ПЭЙДЖИН""";1370.91;RUR;В обработке;Маркетплейсы;5300;Списание;;6;Рубли
30.05.2026;30.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/STOLOVAYA N4 GU;312.35;RUR;Выполнен;Фастфуд;5814;Списание;;15;Рубли
30.03.2026;02.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""ТАНДЕР""";388.58;RUR;Выполнен;Продукты;5411;Списание;;1;Рубли
28.03.2026;31.03.2026;Текущий счёт ;4,08178E+19;;;Moscow/TRANSPORT TPP;42.07;RUR;Выполнен;Транспорт;4131;Списание;;;
27.07.2026;27.07.2026;Текущий счёт ;4,08178E+19;;;Moscow/MAGNIT MM 1158;679.37;RUR;Выполнен;Продукты;5411;Списание;;;
27.07.2026;27.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/DOODOO PIZZA;609.24;RUR;Выполнен;Фастфуд;5814;Списание;;;
27.04.2026;27.04.2026;Текущий счёт ;4,08178E+19;;;Оплата по QR через Сбер;359.35;RUR;Выполнен;Кафе;5812;Списание;;;
26.08.2026;26.08.2026;Текущий счёт ;4,08178E+19;;;Аренда кв.;84886;RUR;Выполнен;Переводы;;Списание;;;
26.07.2026;26.07.2026;Текущий счёт ;4,08178E+19;;;АО Финтех;211350;RUR;Выполнен;Переводы;;Пополнение;;;
26.07.2026;26.07.2026;Текущий счёт ;4,08178E+19;;;Moscow/DOODOO PIZZA;540.4;RUR;Выполнен;Фастфуд;5814;Списание;;;
26.05.2026;26.05.2026;Текущий счёт ;4,08178E+19;;;ВК МУЗЫКА;299;RUR;Выполнен;Музыка;;Списание;;;
26.05.2026;26.05.2026;Текущий счёт ;4,08178E+19;;;АО Финтех;210907;RUR;Выполнен;Переводы;;Пополнение;;;
26.04.2026;28.04.2026;Текущий счёт ;4,08178E+19;;;ВК МУЗЫКА;299;RUR;Выполнен;Музыка;;Списание;;;
26.03.2026;26.03.2026;Текущий счёт ;4,08178E+19;;;АО Финтех;187202;RUR;Выполнен;Переводы;;Пополнение;;;
25.08.2026;26.08.2026;Текущий счёт ;4,08178E+19;;;VK.COM/MUSIC;299;RUR;Выполнен;Музыка;;Списание;;;
25.07.2026;25.07.2026;Текущий счёт ;4,08178E+19;;;Аренда кв.;85035;RUR;Выполнен;Переводы;;Списание;;;
25.05.2026;25.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/SHAWARMA HOUSE;248.14;RUR;Выполнен;Фастфуд;5814;Списание;;3;Рубли
25.04.2026;25.04.2026;Текущий счёт ;4,08178E+19;;;АО Финтех;189924;RUR;Выполнен;Переводы;;Пополнение;;;
24.08.2026;24.08.2026;Текущий счёт ;4,08178E+19;;;АО Финтех;210124;RUR;Выполнен;Переводы;;Пополнение;;;
24.07.2026;24.07.2026;Текущий счёт ;4,08178E+19;;;ВК МУЗЫКА;299;RUR;Выполнен;Музыка;;Списание;;;
24.07.2026;25.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО ""ЭЛЕМЕНТ-ТРЕЙД""";343.89;RUR;Выполнен;Продукты;5411;Списание;;;
24.07.2026;26.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;WILDBERRIES;3877.59;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
24.06.2026;26.06.2026;Текущий счёт ;4,08178E+19;;;SBERPRIME;399;RUR;Выполнен;Экосистема;;Списание;;;
24.05.2026;25.05.2026;Текущий счёт ;4,08178E+19;;;СБЕРПРАЙМ;399;RUR;Выполнен;Экосистема;;Списание;;;
24.04.2026;24.04.2026;Текущий счёт ;4,08178E+19;;;SBERPRIME;399;RUR;Выполнен;Экосистема;;Списание;;;
24.04.2026;27.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/STOLOVAYA N4 GU;296.65;RUR;Выполнен;Фастфуд;5814;Списание;;;
24.04.2026;25.04.2026;Текущий счёт ;4,08178E+19;;;OZON;3339.52;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
23.06.2026;23.06.2026;Текущий счёт ;4,08178E+19;;;VK.COM/MUSIC;299;RUR;Выполнен;Музыка;;Списание;;;
23.04.2026;24.04.2026;Текущий счёт ;4,08178E+19;;;"ООО ""ЭЛЕМЕНТ-ТРЕЙД""";360.58;RUR;Выполнен;Продукты;5411;Списание;;;
23.04.2026;26.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Оплата по QR через Сбер;296.13;RUR;Выполнен;Кафе;5812;Списание;;14;Рубли
23.03.2026;23.03.2026;Текущий счёт ;4,08178E+19;;;VK.COM/MUSIC;299;RUR;Выполнен;Музыка;;Списание;;;
22.08.2026;25.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/SPK EKATERINBUR;43.7;RUR;Выполнен;Транспорт;4111;Списание;;;
22.08.2026;23.08.2026;Текущий счёт ;4,08178E+19;;;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
22.05.2026;22.05.2026;Текущий счёт ;4,08178E+19;;;Аренда кв.;84931;RUR;Выполнен;Переводы;;Списание;;;
22.03.2026;22.03.2026;Текущий счёт ;4,08178E+19;;;СБЕРПРАЙМ;399;RUR;Выполнен;Экосистема;;Списание;;;
21.08.2026;23.08.2026;Текущий счёт ;4,08178E+19;;;СБЕРПРАЙМ;399;RUR;Выполнен;Экосистема;;Списание;;;
21.08.2026;21.08.2026;Текущий счёт ;4,08178E+19;;;Оксана К.;200;RUR;Выполнен;Переводы;;Пополнение;;;
21.07.2026;21.07.2026;Текущий счёт ;4,08178E+19;;;IVI;399;RUR;Выполнен;Видео;;Списание;;;
21.07.2026;21.07.2026;Текущий счёт ;4,08178E+19;;;Moscow/MONETKA;384.84;RUR;Выполнен;Продукты;5411;Списание;;;
20.08.2026;22.08.2026;Текущий счёт ;4,08178E+19;;;ООО ИВИ.РУ;399;RUR;Выполнен;Видео;;Списание;;;
20.07.2026;22.07.2026;Текущий счёт ;4,08178E+19;;;СБЕРПРАЙМ;399;RUR;Выполнен;Экосистема;;Списание;;;
20.07.2026;20.07.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;1000;RUR;Выполнен;Переводы;;Пополнение;;;
20.06.2026;21.06.2026;Текущий счёт ;4,08178E+19;;;ООО ИВИ.РУ;399;RUR;Выполнен;Видео;;Списание;;;
20.05.2026;20.05.2026;Текущий счёт ;4,08178E+19;;;CLOUD.MAIL.RU;399;RUR;Выполнен;Облако;;Списание;;;
20.05.2026;20.05.2026;Текущий счёт ;4,08178E+19;;;Moscow/STOLOVAYA N4 GU;271.62;RUR;Выполнен;Фастфуд;5814;Списание;;;
20.04.2026;21.04.2026;Текущий счёт ;4,08178E+19;;;IVI;399;RUR;Выполнен;Видео;;Списание;;;
20.04.2026;20.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;OZON;1561.77;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
20.04.2026;20.04.2026;Текущий счёт ;4,08178E+19;;;OZON;3810.33;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
20.03.2026;20.03.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;2000;RUR;Выполнен;Переводы;;Пополнение;;;
19.07.2026;21.07.2026;Текущий счёт ;4,08178E+19;;;VK CLOUD;399;RUR;Выполнен;Облако;;Списание;;;
19.07.2026;19.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
19.07.2026;19.07.2026;Текущий счёт ;4,08178E+19;;;Оксана К.;2000;RUR;Выполнен;Переводы;;Пополнение;;;
