operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
31.05.2026;31.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Снятие наличных ATM;3000;RUR;Выполнен;Наличные;6011;Списание;;;
30.03.2026;31.03.2026;Текущий счёт ;4,08178E+19;;;"ООО ""ЭЛЕМЕНТ-ТРЕЙД""";622.69;RUR;Выполнен;Продукты;5411;Списание;;;
29.08.2026;01.09.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/APTEKA 36.6;321.49;RUR;Выполнен;Аптеки;5912;Списание;;;
29.07.2026;01.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/RIGLA;770.25;RUR;Выполнен;Аптеки;5912;Списание;;;
27.06.2026;29.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО ""АЛЬФА-М""";168.96;RUR;Выполнен;Продукты;5411;Списание;;7;Рубли
27.06.2026;27.06.2026;Текущий счёт ;4,08178E+19;;;Внукам;919;RUR;Выполнен;Переводы;;Списание;;;
27.04.2026;30.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО ""АЛЬФА-М""";75.28;RUR;Выполнен;Продукты;5411;Списание;;;
26.08.2026;27.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
25.06.2026;26.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/MAGNIT MM 4732;654.83;RUR;Выполнен;Продукты;5411;Списание;;9;Рубли
25.06.2026;28.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
25.05.2026;28.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""ТАНДЕР""";326.38;RUR;Выполнен;Продукты;5411;Списание;;;
25.03.2026;25.03.2026;Текущий счёт ;4,08178E+19;;;Внукам;1169;RUR;Выполнен;Переводы;;Списание;;;
24.07.2026;27.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/KRASNOE BELOE;426.11;RUR;Выполнен;Продукты;5499;Списание;;;
24.03.2026;27.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/RIGLA;569.98;RUR;Выполнен;Аптеки;5912;Списание;;12;Рубли
23.08.2026;26.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/RIGLA;184.04;RUR;Выполнен;Аптеки;5912;Списание;;;
23.07.2026;25.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/RIGLA;334.7;RUR;Выполнен;Аптеки;5912;Списание;;;
23.03.2026;24.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/PYATEROCHKA 1158;432.21;RUR;Выполнен;Продукты;5411;Списание;;;
23.03.2026;26.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Воронеж/APTEKA 36.6;1062.7;RUR;Выполнен;Аптеки;5912;Списание;;;
22.06.2026;22.06.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;200;RUR;Выполнен;Переводы;;Пополнение;;;
22.03.2026;23.03.2026;Текущий счёт ;4,08178E+19;;;Воронеж/STOLOVAYA N4 GU;322.73;RUR;Выполнен;Фастфуд;5814;Списание;;;
