operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
31.03.2026;31.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/MAGNIT MM ROSHANO;782.74;RUR;Выполнен;Продукты;5411;Списание;;;
30.06.2026;30.06.2026;Текущий счёт ;4,08178E+19;;;Юрий Л.;1000;RUR;Выполнен;Переводы;;Пополнение;;;
30.05.2026;31.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО БАНК ""ПЭЙДЖИН""";1478.26;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
30.03.2026;31.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/MONETKA;689.17;RUR;Выполнен;Продукты;5411;Списание;;;
29.07.2026;01.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/TRANSPORT TPP;42.12;RUR;Выполнен;Транспорт;4131;Списание;;;
29.04.2026;29.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Снятие наличных ATM;5000;RUR;Выполнен;Наличные;6011;Списание;;;
28.08.2026;31.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/SPK EKATERINBUR;44.65;RUR;Выполнен;Транспорт;4111;Списание;;;
28.04.2026;28.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/KOFEMANIA;289.05;RUR;Выполнен;Кафе;5812;Списание;;;
27.07.2026;30.07.2026;Текущий счёт ;4,08178E+19;;;Ekaterinburg/KOFEMANIA;509.97;RUR;Выполнен;Кафе;5812;Списание;;;
27.03.2026;29.03.2026;Текущий счёт ;4,08178E+19;;;Ekaterinburg/KOFEMANIA;444.86;RUR;Выполнен;Кафе;5812;Списание;;;
26.07.2026;26.07.2026;Текущий счёт ;4,08178E+19;;;Министерство образования;12511;RUR;Выполнен;Переводы;;Пополнение;;;
26.07.2026;27.07.2026;Текущий счёт ;4,08178E+19;;;Ekaterinburg/MAGNIT MM RAZME;318.14;RUR;Выполнен;Продукты;5411;Списание;;;
26.06.2026;26.06.2026;Текущий счёт ;4,08178E+19;;;Министерство образования;13881;RUR;Выполнен;Переводы;;Пополнение;;;
26.05.2026;26.05.2026;Текущий счёт ;4,08178E+19;;;Мама И.;2168;RUR;Выполнен;Переводы;;Списание;;;
26.03.2026;26.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Снятие наличных ATM;5000;RUR;Выполнен;Наличные;6011;Списание;;;
25.08.2026;25.08.2026;Текущий счёт ;4,08178E+19;;;Министерство образования;12322;RUR;Выполнен;Переводы;;Пополнение;;;
25.05.2026;25.05.2026;Текущий счёт ;4,08178E+19;;;Министерство образования;12177;RUR;Выполнен;Переводы;;Пополнение;;;
25.05.2026;25.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Ekaterinburg/KRASNOE BELOE;253.07;RUR;Выполнен;Продукты;5499;Списание;;6;Рубли
25.04.2026;25.04.2026;Текущий счёт ;4,08178E+19;;;Министерство образования;14472;RUR;Выполнен;Переводы;;Пополнение;;;
24.08.2026;24.08.2026;Текущий счёт ;4,08178E+19;;;ЛИТРЕС;299;RUR;Выполнен;Книги;;Списание;;;
