operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
31.07.2026;02.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/SHAWARMA HOUSE;231.91;RUR;Выполнен;Фастфуд;5814;Списание;;;
31.07.2026;31.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/DOODOO PIZZA;740.11;RUR;Выполнен;Фастфуд;5814;Списание;;;
30.08.2026;;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Moscow/KOFEMANIA;636.64;RUR;В обработке;Кафе;5812;Списание;;;
30.07.2026;30.07.2026;Текущий счёт ;4,08178E+19;;;Александр К.;1000;RUR;Выполнен;Переводы;;Пополнение;;;
30.03.2026;30.03.2026;Текущий счёт ;4,08178E+19;;;Сергей К.;2000;RUR;Выполнен;Переводы;;Пополнение;;;
29.08.2026;29.08.2026;Текущий счёт ;4,08178E+19;;;Юрий Л.;500;RUR;Выполнен;Переводы;;Пополнение;;;
28.05.2026;28.05.2026;Текущий счёт ;4,08178E+19;;;Moscow/RIGLA;454.42;RUR;Выполнен;Аптеки;5912;Списание;;13;Рубли
27.08.2026;27.08.2026;Текущий счёт ;4,08178E+19;;;Аренда кв.;44807;RUR;Выполнен;Переводы;;Списание;;;
27.06.2026;27.06.2026;Текущий счёт ;4,08178E+19;;;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
27.06.2026;28.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
27.04.2026;29.04.2026;Текущий счёт ;4,08178E+19;;;Moscow/MONETKA;293.55;RUR;Выполнен;Продукты;5411;Списание;;;
27.03.2026;27.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;OZON;1751.98;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
27.03.2026;27.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Снятие наличных ATM;5000;RUR;Выполнен;Наличные;6011;Списание;;;
26.05.2026;26.05.2026;Текущий счёт ;4,08178E+19;;;ООО Диджитал Номад;112521;RUR;Выполнен;Переводы;;Пополнение;;;
26.03.2026;28.03.2026;Текущий счёт ;4,08178E+19;;;Ситимобил;592.42;RUR;Выполнен;Транспорт;4121;Списание;;;
26.03.2026;27.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО БАНК ""ПЭЙДЖИН""";1182.14;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
25.08.2026;25.08.2026;Текущий счёт ;4,08178E+19;;;ООО Диджитал Номад;129371;RUR;Выполнен;Переводы;;Пополнение;;;
25.03.2026;25.03.2026;Текущий счёт ;4,08178E+19;;;ООО Диджитал Номад;116931;RUR;Выполнен;Переводы;;Пополнение;;;
