operationDate;transactionDate;accountName;accountNumber;cardName;cardNumber;merchant;amount;currency;status;category;mcc;type;comment;bonusValue;bonusTitle
31.05.2026;31.05.2026;Текущий счёт ;4,08178E+19;;;Оксана К.;300;RUR;Выполнен;Переводы;;Пополнение;;;
30.07.2026;02.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/SHAWARMA HOUSE;268.87;RUR;Выполнен;Фастфуд;5814;Списание;;;
30.07.2026;30.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/RIGLA;706.88;RUR;Выполнен;Аптеки;5912;Списание;;;
29.07.2026;01.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Uber;792.82;RUR;Выполнен;Транспорт;4121;Списание;;;
29.05.2026;29.05.2026;Текущий счёт ;4,08178E+19;;;"АО ""ТАНДЕР""";196.21;RUR;Выполнен;Продукты;5411;Списание;;1;Рубли
28.08.2026;28.08.2026;Текущий счёт ;4,08178E+19;;;Мама;2929;RUR;Выполнен;Переводы;;Списание;;;
28.06.2026;01.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/STOLOVAYA N4 GU;449.54;RUR;Выполнен;Фастфуд;5814;Списание;;;
28.04.2026;28.04.2026;Текущий счёт ;4,08178E+19;;;"ООО ""АЛЬФА-М""";197.95;RUR;Выполнен;Продукты;5411;Списание;;1;Рубли
28.04.2026;28.04.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;OZON;4079.32;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
26.07.2026;27.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Uber;643.65;RUR;Выполнен;Транспорт;4121;Списание;;;
26.04.2026;26.04.2026;Текущий счёт ;4,08178E+19;;;ООО ТехноСофт;78748;RUR;Выполнен;Переводы;;Пополнение;;;
26.03.2026;26.03.2026;Текущий счёт ;4,08178E+19;;;ООО ТехноСофт;81954;RUR;Выполнен;Переводы;;Пополнение;;;
25.07.2026;25.07.2026;Текущий счёт ;4,08178E+19;;;ООО ТехноСофт;71832;RUR;Выполнен;Переводы;;Пополнение;;;
25.06.2026;25.06.2026;Текущий счёт ;4,08178E+19;;;ООО ТехноСофт;78845;RUR;Выполнен;Переводы;;Пополнение;;;
24.08.2026;24.08.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/SPK EKATERINBUR;44.67;RUR;Выполнен;Транспорт;4111;Списание;;;
24.07.2026;27.07.2026;Текущий счёт ;4,08178E+19;;;Saint-Petersburg/MONETKA;283.92;RUR;Выполнен;Продукты;5411;Списание;;;
24.06.2026;27.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/SPK EKATERINBUR;44.82;RUR;Выполнен;Транспорт;4111;Списание;;;
24.05.2026;24.05.2026;Текущий счёт ;4,08178E+19;;;ООО ТехноСофт;87502;RUR;Выполнен;Переводы;;Пополнение;;;
24.05.2026;26.05.2026;Текущий счёт ;4,08178E+19;;;Saint-Petersburg/PYATEROCHKA 3274;76.36;RUR;Выполнен;Продукты;5411;Списание;;;
24.04.2026;25.04.2026;Текущий счёт ;4,08178E+19;;;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;15;Рубли
23.07.2026;25.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/SHAWARMA HOUSE;206.32;RUR;Выполнен;Фастфуд;5814;Списание;;1;Рубли
23.06.2026;23.06.2026;Текущий счёт ;4,08178E+19;;;Аренда кв.;35170;RUR;Выполнен;Переводы;;Списание;;;
23.05.2026;25.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"ООО БАНК ""ПЭЙДЖИН""";1954.16;RUR;Выполнен;Маркетплейсы;5300;Списание;;;
23.04.2026;25.04.2026;Текущий счёт ;4,08178E+19;;;Saint-Petersburg/SPK EKATERINBUR;43.4;RUR;Выполнен;Транспорт;4111;Списание;;;
22.05.2026;22.05.2026;Текущий счёт ;4,08178E+19;;;Оплата по QR через Сбер;82.06;RUR;Выполнен;Кафе;5812;Списание;;;
22.05.2026;24.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Максим;381.86;RUR;Выполнен;Транспорт;4121;Списание;;;
22.03.2026;22.03.2026;Текущий счёт ;4,08178E+19;;;FRAGMENT.COM;299;RUR;Выполнен;Связь;;Списание;;;
21.06.2026;22.06.2026;Текущий счёт ;4,08178E+19;;;Saint-Petersburg/STOLOVAYA N4 GU;277.07;RUR;Выполнен;Фастфуд;5814;Списание;;;
21.06.2026;21.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Uber;969.32;RUR;Выполнен;Транспорт;4121;Списание;;;
21.05.2026;23.05.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/KRASNOE BELOE;597.82;RUR;Выполнен;Продукты;5499;Списание;;;
21.03.2026;21.03.2026;Текущий счёт ;4,08178E+19;;;Saint-Petersburg/KOFEMANIA;375.92;RUR;Выполнен;Кафе;5812;Списание;;;
21.03.2026;23.03.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Максим;324.33;RUR;Выполнен;Транспорт;4121;Списание;;;
20.07.2026;20.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;"АО ""И-СЕТЬ""";42.0;RUR;Выполнен;Транспорт;4131;Списание;;;
20.06.2026;20.06.2026;Текущий счёт ;4,08178E+19;;;TELEGRAM PREMIUM;299;RUR;Выполнен;Связь;;Списание;;;
20.05.2026;21.05.2026;Текущий счёт ;4,08178E+19;;;Saint-Petersburg/TRANSPORT TPP;43.8;RUR;Выполнен;Транспорт;4131;Списание;;;
19.07.2026;19.07.2026;Текущий счёт ;4,08178E+19;;;TELEGRAM PREMIUM;299;RUR;Выполнен;Связь;;Списание;;;
19.07.2026;19.07.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;WILDBERRIES;725.82;RUR;Выполнен;Маркетплейсы;5300;Списание;;12;Рубли
19.06.2026;19.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/SHAWARMA HOUSE;227.35;RUR;Выполнен;Фастфуд;5814;Списание;;15;Рубли
19.06.2026;20.06.2026;Текущий счёт ;4,08178E+19;Альфа-карта МИР ;220015******7479;Saint-Petersburg/TRANSPORT TPP;42.09;RUR;Выполнен;Транспорт;4131;Списание;;;
